目次
中文摘要...............................................Ⅰ
英文摘要...............................................Ⅱ
謝誌...................................................Ⅲ
目次...................................................Ⅳ
圖次...................................................Ⅴ
表次...................................................Ⅸ
附表次.................................................Ⅹ
第一章、    緒論
第一節、    研究動機...................................1
第二節、    研究目的...................................1
第三節、    研究區域...................................1
第二章、    文獻回顧
第一節、    國內氣象參數與空氣汙染物週末效應之相關研究.6
第二節、    國外氣象參數與空氣汙染物週末效應之相關研究.7
第三節、    懸浮微粒與氣象參數輻射效應之研究...........8
第三章、    研究方法
第一節、    研究流程...................................9
第二節、    研究資料...................................9
第四章、    研究結果..................................13
第一節、    北北基地區................................13
第二節、    桃竹苗地區................................41
第三節、    中彰投地區................................67
第四節、    雲嘉南地區................................94
第五節、    高　屏地區...............................123
第六節、    宜花東地區...............................151
第五章、    結論.....................................179
參考文獻.............................................189
附錄.................................................附1
